id,student_id,reward_type_id,month_number,month,year,issued_at,performance_percentage
69,10,3,6,March,2025,3/30/2025,81%
70,10,1,7,April,2025,4/30/2025,81%
71,11,7,1,September,2025,9/30/2024,86%
72,11,3,2,October,2025,10/30/2024,83%
73,11,5,3,November,2025,11/30/2024,78%
74,11,4,4,January,2025,1/30/2025,94%
75,11,5,5,February,2025,2/28/2025,94%
76,11,5,6,March,2025,3/30/2025,95%
77,11,1,7,April,2025,4/30/2025,80%
78,12,6,1,September,2025,9/30/2024,91%
79,12,8,2,October,2025,10/30/2024,83%
80,12,4,3,November,2025,11/30/2024,95%
81,12,9,4,January,2025,1/30/2025,89%
82,12,1,5,February,2025,2/28/2025,93%
83,12,6,6,March,2025,3/30/2025,89%
84,12,5,7,April,2025,4/30/2025,92%
85,13,6,1,September,2025,9/30/2024,91%
86,13,8,2,October,2025,10/30/2024,92%
87,13,5,3,November,2025,11/30/2024,93%
88,13,6,4,January,2025,1/30/2025,76%
89,13,5,5,February,2025,2/28/2025,93%
90,13,7,6,March,2025,3/30/2025,78%
91,13,4,7,April,2025,4/30/2025,92%
92,14,6,1,September,2025,9/30/2024,90%
93,14,1,2,October,2025,10/30/2024,89%
94,14,6,3,November,2025,11/30/2024,90%
95,14,4,4,January,2025,1/30/2025,83%
96,14,9,5,February,2025,2/28/2025,92%
97,14,3,6,March,2025,3/30/2025,91%
98,14,5,7,April,2025,4/30/2025,76%
99,15,7,1,September,2025,9/30/2024,82%
100,15,4,2,October,2025,10/30/2024,76%
101,15,1,3,November,2025,11/30/2024,75%
102,15,6,4,January,2025,1/30/2025,90%
103,15,5,5,February,2025,2/28/2025,92%
104,15,3,6,March,2025,3/30/2025,85%
105,15,3,7,April,2025,4/30/2025,78%
106,16,4,1,September,2025,9/30/2024,79%
107,16,4,2,October,2025,10/30/2024,95%
108,16,2,3,November,2025,11/30/2024,82%
109,16,6,4,January,2025,1/30/2025,81%
110,16,5,5,February,2025,2/28/2025,88%
111,16,8,6,March,2025,3/30/2025,77%
112,16,3,7,April,2025,4/30/2025,87%
113,17,1,1,September,2025,9/30/2024,83%
114,17,5,2,October,2025,10/30/2024,93%
115,17,1,3,November,2025,11/30/2024,90%
116,17,8,4,January,2025,1/30/2025,91%
117,17,3,5,February,2025,2/28/2025,86%
118,17,1,6,March,2025,3/30/2025,91%
119,17,8,7,April,2025,4/30/2025,89%
120,18,7,1,September,2025,9/30/2024,80%
121,18,6,2,October,2025,10/30/2024,75%
122,18,5,3,November,2025,11/30/2024,84%
123,18,6,4,January,2025,1/30/2025,81%
124,18,4,5,February,2025,2/28/2025,75%
125,18,9,6,March,2025,3/30/2025,86%
126,18,1,7,April,2025,4/30/2025,92%
127,19,3,1,September,2025,9/30/2024,85%
128,19,1,2,October,2025,10/30/2024,76%
129,19,4,3,November,2025,11/30/2024,80%
130,19,3,4,January,2025,1/30/2025,84%
131,19,3,5,February,2025,2/28/2025,85%
132,19,4,6,March,2025,3/30/2025,88%
133,19,7,7,April,2025,4/30/2025,94%
134,20,8,1,September,2025,9/30/2024,79%
135,20,5,2,October,2025,10/30/2024,84%
136,20,9,3,November,2025,11/30/2024,85%
137,20,1,4,January,2025,1/30/2025,85%
138,20,3,5,February,2025,2/28/2025,91%
139,20,1,6,March,2025,3/30/2025,82%
140,20,7,7,April,2025,4/30/2025,89%
141,21,8,1,September,2025,9/30/2024,80%
142,21,4,2,October,2025,10/30/2024,89%
143,21,5,3,November,2025,11/30/2024,75%
144,21,6,4,January,2025,1/30/2025,75%
145,21,6,5,February,2025,2/28/2025,84%
146,21,2,6,March,2025,3/30/2025,78%
147,21,4,7,April,2025,4/30/2025,91%
148,22,8,1,September,2025,9/30/2024,84%
149,22,1,2,October,2025,10/30/2024,83%
150,22,8,3,November,2025,11/30/2024,77%
151,22,4,4,January,2025,1/30/2025,94%
152,22,4,5,February,2025,2/28/2025,81%
153,22,4,6,March,2025,3/30/2025,86%
154,22,9,7,April,2025,4/30/2025,87%
155,23,5,1,September,2025,9/30/2024,75%
156,23,5,2,October,2025,10/30/2024,90%
157,23,1,3,November,2025,11/30/2024,89%
158,23,2,4,January,2025,1/30/2025,91%
159,23,8,5,February,2025,2/28/2025,90%
160,23,7,6,March,2025,3/30/2025,86%
161,23,4,7,April,2025,4/30/2025,90%
162,24,5,1,September,2025,9/30/2024,92%
163,24,6,2,October,2025,10/30/2024,91%
164,24,9,3,November,2025,11/30/2024,88%
165,24,4,4,January,2025,1/30/2025,86%
166,24,6,5,February,2025,2/28/2025,94%
167,24,8,6,March,2025,3/30/2025,79%
168,24,4,7,April,2025,4/30/2025,78%
169,25,7,1,September,2025,9/30/2024,91%
170,25,8,2,October,2025,10/30/2024,81%
171,25,1,3,November,2025,11/30/2024,78%
172,25,2,4,January,2025,1/30/2025,92%
173,25,4,5,February,2025,2/28/2025,89%
174,25,2,6,March,2025,3/30/2025,95%
175,25,3,7,April,2025,4/30/2025,88%
176,26,8,1,September,2025,9/30/2024,91%
177,26,6,2,October,2025,10/30/2024,86%
178,26,4,3,November,2025,11/30/2024,89%
179,26,9,4,January,2025,1/30/2025,91%
180,26,9,5,February,2025,2/28/2025,88%
181,26,2,6,March,2025,3/30/2025,86%
182,26,7,7,April,2025,4/30/2025,77%
183,27,3,1,September,2025,9/30/2024,93%
184,27,3,2,October,2025,10/30/2024,79%
185,27,8,3,November,2025,11/30/2024,94%
186,27,3,4,January,2025,1/30/2025,83%
187,27,7,5,February,2025,2/28/2025,93%
188,27,5,6,March,2025,3/30/2025,75%
189,27,4,7,April,2025,4/30/2025,94%
190,28,4,1,September,2025,9/30/2024,84%
191,28,5,2,October,2025,10/30/2024,75%
192,28,3,3,November,2025,11/30/2024,75%
193,28,3,4,January,2025,1/30/2025,75%
194,28,9,5,February,2025,2/28/2025,94%
195,28,3,6,March,2025,3/30/2025,77%
196,28,4,7,April,2025,4/30/2025,91%
197,29,8,1,September,2025,9/30/2024,93%
198,29,4,2,October,2025,10/30/2024,79%
199,29,8,3,November,2025,11/30/2024,90%
200,29,1,4,January,2025,1/30/2025,91%
201,29,1,5,February,2025,2/28/2025,82%
202,29,4,6,March,2025,3/30/2025,91%
203,29,4,7,April,2025,4/30/2025,84%
204,30,1,1,September,2025,9/30/2024,90%
205,30,5,2,October,2025,10/30/2024,78%
206,30,2,3,November,2025,11/30/2024,88%
207,30,8,4,January,2025,1/30/2025,93%
208,30,4,5,February,2025,2/28/2025,80%
209,30,9,6,March,2025,3/30/2025,79%
210,30,8,7,April,2025,4/30/2025,91%
211,31,5,1,September,2025,9/30/2024,86%
212,31,1,2,October,2025,10/30/2024,81%
213,31,6,3,November,2025,11/30/2024,95%
214,31,6,4,January,2025,1/30/2025,80%
215,31,8,5,February,2025,2/28/2025,85%
216,31,8,6,March,2025,3/30/2025,93%
217,31,8,7,April,2025,4/30/2025,93%
218,32,3,1,September,2025,9/30/2024,83%
219,32,6,2,October,2025,10/30/2024,95%
220,32,2,3,November,2025,11/30/2024,88%
221,32,9,4,January,2025,1/30/2025,83%
222,32,7,5,February,2025,2/28/2025,80%
223,32,2,6,March,2025,3/30/2025,83%
224,32,6,7,April,2025,4/30/2025,91%
225,33,6,1,September,2025,9/30/2024,80%
226,33,2,2,October,2025,10/30/2024,78%
227,33,8,3,November,2025,11/30/2024,80%
228,33,4,4,January,2025,1/30/2025,87%
229,33,4,5,February,2025,2/28/2025,86%
230,33,7,6,March,2025,3/30/2025,92%
231,33,3,7,April,2025,4/30/2025,87%
232,34,3,1,September,2025,9/30/2024,92%
233,34,2,2,October,2025,10/30/2024,78%
234,34,3,3,November,2025,11/30/2024,94%
235,34,5,4,January,2025,1/30/2025,79%
236,34,1,5,February,2025,2/28/2025,90%
237,34,8,6,March,2025,3/30/2025,86%
238,34,9,7,April,2025,4/30/2025,93%
239,35,3,1,September,2025,9/30/2024,84%
240,35,2,2,October,2025,10/30/2024,78%
241,35,4,3,November,2025,11/30/2024,82%
242,35,1,4,January,2025,1/30/2025,80%
243,35,8,5,February,2025,2/28/2025,81%
244,35,2,6,March,2025,3/30/2025,76%
245,35,6,7,April,2025,4/30/2025,95%
246,36,8,1,September,2025,9/30/2024,95%
247,36,8,2,October,2025,10/30/2024,91%
248,36,5,3,November,2025,11/30/2024,86%
249,36,5,4,January,2025,1/30/2025,85%
250,36,2,5,February,2025,2/28/2025,92%
251,36,9,6,March,2025,3/30/2025,95%
252,36,6,7,April,2025,4/30/2025,76%
253,37,3,1,September,2025,9/30/2024,95%
254,37,3,2,October,2025,10/30/2024,76%
255,37,5,3,November,2025,11/30/2024,78%
256,37,4,4,January,2025,1/30/2025,87%
257,37,4,5,February,2025,2/28/2025,93%
258,37,4,6,March,2025,3/30/2025,76%
259,37,7,7,April,2025,4/30/2025,78%
260,38,2,1,September,2025,9/30/2024,88%
261,38,8,2,October,2025,10/30/2024,86%
262,38,6,3,November,2025,11/30/2024,94%
263,38,9,4,January,2025,1/30/2025,88%
264,38,6,5,February,2025,2/28/2025,86%
265,38,1,6,March,2025,3/30/2025,85%
266,38,6,7,April,2025,4/30/2025,89%
267,39,4,1,September,2025,9/30/2024,90%
268,39,1,2,October,2025,10/30/2024,92%
269,39,2,3,November,2025,11/30/2024,79%
270,39,9,4,January,2025,1/30/2025,76%
271,39,7,5,February,2025,2/28/2025,78%
272,39,9,6,March,2025,3/30/2025,89%
273,39,3,7,April,2025,4/30/2025,75%
274,40,3,1,September,2025,9/30/2024,86%
275,40,6,2,October,2025,10/30/2024,85%
276,40,8,3,November,2025,11/30/2024,76%
277,40,4,4,January,2025,1/30/2025,85%
278,40,7,5,February,2025,2/28/2025,91%
279,40,1,6,March,2025,3/30/2025,85%
280,40,3,7,April,2025,4/30/2025,91%
281,41,6,1,September,2025,9/30/2024,77%
282,41,4,2,October,2025,10/30/2024,83%
283,41,7,3,November,2025,11/30/2024,78%
284,41,7,4,January,2025,1/30/2025,82%
285,41,1,5,February,2025,2/28/2025,81%
286,41,2,6,March,2025,3/30/2025,82%
287,41,4,7,April,2025,4/30/2025,95%
288,42,4,1,September,2025,9/30/2024,93%
289,42,9,2,October,2025,10/30/2024,90%
290,42,7,3,November,2025,11/30/2024,92%
291,42,8,4,January,2025,1/30/2025,76%
292,42,9,5,February,2025,2/28/2025,78%
293,42,6,6,March,2025,3/30/2025,78%
294,42,8,7,April,2025,4/30/2025,84%
295,43,2,1,September,2025,9/30/2024,85%
296,43,1,2,October,2025,10/30/2024,75%
297,43,6,3,November,2025,11/30/2024,92%
298,43,5,4,January,2025,1/30/2025,87%
299,43,9,5,February,2025,2/28/2025,82%
300,43,3,6,March,2025,3/30/2025,88%
301,43,2,7,April,2025,4/30/2025,95%
302,44,2,1,September,2025,9/30/2024,95%
303,44,1,2,October,2025,10/30/2024,91%
304,44,5,3,November,2025,11/30/2024,91%
305,44,8,4,January,2025,1/30/2025,89%
306,44,2,5,February,2025,2/28/2025,90%
307,44,3,6,March,2025,3/30/2025,80%
308,44,7,7,April,2025,4/30/2025,85%
309,45,1,1,September,2025,9/30/2024,89%
310,45,7,2,October,2025,10/30/2024,78%
311,45,8,3,November,2025,11/30/2024,90%
312,45,5,4,January,2025,1/30/2025,94%
313,45,5,5,February,2025,2/28/2025,87%
314,45,1,6,March,2025,3/30/2025,86%
315,45,5,7,April,2025,4/30/2025,92%
316,46,4,1,September,2025,9/30/2024,90%
317,46,6,2,October,2025,10/30/2024,79%
318,46,2,3,November,2025,11/30/2024,75%
319,46,2,4,January,2025,1/30/2025,80%
320,46,5,5,February,2025,2/28/2025,85%
321,46,8,6,March,2025,3/30/2025,84%
322,46,8,7,April,2025,4/30/2025,76%
323,47,5,1,September,2025,9/30/2024,80%
324,47,8,2,October,2025,10/30/2024,82%
325,47,6,3,November,2025,11/30/2024,83%
326,47,5,4,January,2025,1/30/2025,91%
327,47,5,5,February,2025,2/28/2025,90%
328,47,4,6,March,2025,3/30/2025,81%
329,47,7,7,April,2025,4/30/2025,89%
330,48,9,1,September,2025,9/30/2024,89%
331,48,2,2,October,2025,10/30/2024,91%
332,48,8,3,November,2025,11/30/2024,85%
333,48,7,4,January,2025,1/30/2025,78%
334,48,3,5,February,2025,2/28/2025,89%
335,48,8,6,March,2025,3/30/2025,77%
336,48,1,7,April,2025,4/30/2025,90%
337,49,9,1,September,2025,9/30/2024,84%
338,49,5,2,October,2025,10/30/2024,87%
339,49,6,3,November,2025,11/30/2024,88%
340,49,6,4,January,2025,1/30/2025,93%
341,49,4,5,February,2025,2/28/2025,76%
342,49,7,6,March,2025,3/30/2025,82%
343,49,4,7,April,2025,4/30/2025,79%
344,50,5,1,September,2025,9/30/2024,95%
345,50,5,2,October,2025,10/30/2024,88%
346,50,2,3,November,2025,11/30/2024,86%
347,50,3,4,January,2025,1/30/2025,89%
348,50,5,5,February,2025,2/28/2025,76%
349,50,3,6,March,2025,3/30/2025,93%
350,50,8,7,April,2025,4/30/2025,81%
351,51,6,1,September,2025,9/30/2024,75%
352,51,3,2,October,2025,10/30/2024,89%
353,51,5,3,November,2025,11/30/2024,90%
354,51,5,4,January,2025,1/30/2025,76%
355,51,7,5,February,2025,2/28/2025,79%
356,51,9,6,March,2025,3/30/2025,92%
357,51,1,7,April,2025,4/30/2025,86%
358,52,2,1,September,2025,9/30/2024,92%
359,52,5,2,October,2025,10/30/2024,83%
360,52,6,3,November,2025,11/30/2024,80%
361,52,3,4,January,2025,1/30/2025,91%
362,52,2,5,February,2025,2/28/2025,84%
363,52,6,6,March,2025,3/30/2025,79%
364,52,5,7,April,2025,4/30/2025,95%
365,53,7,1,September,2025,9/30/2024,81%
366,53,4,2,October,2025,10/30/2024,95%
367,53,7,3,November,2025,11/30/2024,92%
368,53,2,4,January,2025,1/30/2025,75%
369,53,8,5,February,2025,2/28/2025,90%
370,53,8,6,March,2025,3/30/2025,80%
371,53,6,7,April,2025,4/30/2025,91%
372,54,9,1,September,2025,9/30/2024,84%
373,54,6,2,October,2025,10/30/2024,83%
374,54,8,3,November,2025,11/30/2024,80%
375,54,8,4,January,2025,1/30/2025,84%
376,54,5,5,February,2025,2/28/2025,82%
377,54,6,6,March,2025,3/30/2025,78%
378,54,7,7,April,2025,4/30/2025,79%
379,55,7,1,September,2025,9/30/2024,93%
380,55,6,2,October,2025,10/30/2024,75%
381,55,6,3,November,2025,11/30/2024,80%
382,55,7,4,January,2025,1/30/2025,90%
383,55,1,5,February,2025,2/28/2025,82%
384,55,3,6,March,2025,3/30/2025,92%
385,55,7,7,April,2025,4/30/2025,78%
386,56,4,1,September,2025,9/30/2024,75%
387,56,9,2,October,2025,10/30/2024,92%
388,56,5,3,November,2025,11/30/2024,81%
389,56,1,4,January,2025,1/30/2025,94%
390,56,8,5,February,2025,2/28/2025,76%
391,56,7,6,March,2025,3/30/2025,86%
392,56,2,7,April,2025,4/30/2025,89%
393,57,2,1,September,2025,9/30/2024,83%
394,57,2,2,October,2025,10/30/2024,79%
395,57,4,3,November,2025,11/30/2024,84%
396,57,9,4,January,2025,1/30/2025,88%
397,57,2,5,February,2025,2/28/2025,87%
398,57,5,6,March,2025,3/30/2025,79%
399,57,1,7,April,2025,4/30/2025,80%
400,58,8,1,September,2025,9/30/2024,93%
401,58,8,2,October,2025,10/30/2024,95%
402,58,9,3,November,2025,11/30/2024,79%
403,58,8,4,January,2025,1/30/2025,83%
404,58,8,5,February,2025,2/28/2025,87%
405,58,7,6,March,2025,3/30/2025,94%
406,58,6,7,April,2025,4/30/2025,89%
407,59,7,1,September,2025,9/30/2024,82%
408,59,6,2,October,2025,10/30/2024,85%
409,59,3,3,November,2025,11/30/2024,89%
410,59,2,4,January,2025,1/30/2025,86%
411,59,2,5,February,2025,2/28/2025,83%
412,59,3,6,March,2025,3/30/2025,84%
413,59,6,7,April,2025,4/30/2025,79%
414,60,9,1,September,2025,9/30/2024,94%
415,60,3,2,October,2025,10/30/2024,91%
416,60,6,3,November,2025,11/30/2024,95%
417,60,3,4,January,2025,1/30/2025,76%
418,60,1,5,February,2025,2/28/2025,88%
419,60,1,6,March,2025,3/30/2025,79%
420,60,4,7,April,2025,4/30/2025,89%
421,61,3,1,September,2025,9/30/2024,78%
422,61,3,2,October,2025,10/30/2024,75%
423,61,9,3,November,2025,11/30/2024,86%
424,61,5,4,January,2025,1/30/2025,83%
425,61,7,5,February,2025,2/28/2025,90%
426,61,9,6,March,2025,3/30/2025,95%
427,61,6,7,April,2025,4/30/2025,84%
428,62,7,1,September,2025,9/30/2024,87%
429,62,3,2,October,2025,10/30/2024,78%
430,62,1,3,November,2025,11/30/2024,91%
431,62,9,4,January,2025,1/30/2025,84%
432,62,6,5,February,2025,2/28/2025,90%
433,62,8,6,March,2025,3/30/2025,76%
434,62,8,7,April,2025,4/30/2025,83%
435,63,8,1,September,2025,9/30/2024,89%
436,63,7,2,October,2025,10/30/2024,89%
437,63,2,3,November,2025,11/30/2024,92%
438,63,5,4,January,2025,1/30/2025,75%
439,63,5,5,February,2025,2/28/2025,86%
440,63,6,6,March,2025,3/30/2025,79%
441,63,6,7,April,2025,4/30/2025,83%
442,64,5,1,September,2025,9/30/2024,85%
443,64,5,2,October,2025,10/30/2024,82%
444,64,1,3,November,2025,11/30/2024,82%
445,64,9,4,January,2025,1/30/2025,95%
446,64,2,5,February,2025,2/28/2025,83%
447,64,8,6,March,2025,3/30/2025,84%
448,64,6,7,April,2025,4/30/2025,82%
449,65,2,1,September,2025,9/30/2024,83%
450,65,4,2,October,2025,10/30/2024,84%
451,65,2,3,November,2025,11/30/2024,75%
452,65,6,4,January,2025,1/30/2025,91%
453,65,8,5,February,2025,2/28/2025,92%
454,65,3,6,March,2025,3/30/2025,89%
455,65,1,7,April,2025,4/30/2025,81%
456,66,2,1,September,2025,9/30/2024,77%
457,66,1,2,October,2025,10/30/2024,91%
458,66,4,3,November,2025,11/30/2024,95%
459,66,1,4,January,2025,1/30/2025,85%
460,66,5,5,February,2025,2/28/2025,83%
461,66,4,6,March,2025,3/30/2025,92%
462,66,4,7,April,2025,4/30/2025,78%
463,67,3,1,September,2025,9/30/2024,76%
464,67,6,2,October,2025,10/30/2024,87%
465,67,6,3,November,2025,11/30/2024,92%
466,67,1,4,January,2025,1/30/2025,91%
467,67,4,5,February,2025,2/28/2025,77%
468,67,1,6,March,2025,3/30/2025,93%
469,67,2,7,April,2025,4/30/2025,80%
470,68,5,1,September,2025,9/30/2024,81%
471,68,5,2,October,2025,10/30/2024,87%
472,68,3,3,November,2025,11/30/2024,86%
473,68,7,4,January,2025,1/30/2025,76%
474,68,3,5,February,2025,2/28/2025,86%
475,68,2,6,March,2025,3/30/2025,89%
476,68,1,7,April,2025,4/30/2025,85%
477,69,3,1,September,2025,9/30/2024,86%
478,69,7,2,October,2025,10/30/2024,80%
479,69,4,3,November,2025,11/30/2024,88%
480,69,4,4,January,2025,1/30/2025,88%
481,69,5,5,February,2025,2/28/2025,77%
482,69,1,6,March,2025,3/30/2025,80%
483,69,3,7,April,2025,4/30/2025,95%
484,70,2,1,September,2025,9/30/2024,95%
485,70,1,2,October,2025,10/30/2024,82%
486,70,5,3,November,2025,11/30/2024,94%
487,70,6,4,January,2025,1/30/2025,80%
488,70,6,5,February,2025,2/28/2025,87%
489,70,2,6,March,2025,3/30/2025,95%
490,70,1,7,April,2025,4/30/2025,84%
491,71,7,1,September,2025,9/30/2024,75%
492,71,2,2,October,2025,10/30/2024,90%
493,71,7,3,November,2025,11/30/2024,85%
494,71,7,4,January,2025,1/30/2025,79%
495,71,1,5,February,2025,2/28/2025,86%
496,71,5,6,March,2025,3/30/2025,75%
497,71,2,7,April,2025,4/30/2025,90%
498,72,2,1,September,2025,9/30/2024,80%
499,72,3,2,October,2025,10/30/2024,80%
500,72,5,3,November,2025,11/30/2024,81%
501,72,1,4,January,2025,1/30/2025,79%
502,72,3,5,February,2025,2/28/2025,81%
503,72,6,6,March,2025,3/30/2025,88%
504,72,7,7,April,2025,4/30/2025,81%
505,73,4,1,September,2025,9/30/2024,88%
506,73,7,2,October,2025,10/30/2024,87%
507,73,9,3,November,2025,11/30/2024,75%
508,73,6,4,January,2025,1/30/2025,93%
509,73,7,5,February,2025,2/28/2025,84%
510,73,1,6,March,2025,3/30/2025,94%
511,73,6,7,April,2025,4/30/2025,95%
512,74,8,1,September,2025,9/30/2024,79%
513,74,8,2,October,2025,10/30/2024,92%
514,74,5,3,November,2025,11/30/2024,95%
515,74,5,4,January,2025,1/30/2025,77%
516,74,6,5,February,2025,2/28/2025,77%
517,74,1,6,March,2025,3/30/2025,75%
518,74,1,7,April,2025,4/30/2025,93%
519,75,4,1,September,2025,9/30/2024,94%
520,75,4,2,October,2025,10/30/2024,90%
521,75,2,3,November,2025,11/30/2024,84%
522,75,2,4,January,2025,1/30/2025,82%
523,75,9,5,February,2025,2/28/2025,81%
524,75,8,6,March,2025,3/30/2025,89%
525,75,5,7,April,2025,4/30/2025,84%
526,76,2,1,September,2025,9/30/2024,80%
527,76,5,2,October,2025,10/30/2024,95%
528,76,3,3,November,2025,11/30/2024,81%
529,76,8,4,January,2025,1/30/2025,84%
530,76,4,5,February,2025,2/28/2025,80%
531,76,6,6,March,2025,3/30/2025,87%
532,76,4,7,April,2025,4/30/2025,75%
533,77,8,1,September,2025,9/30/2024,88%
534,77,1,2,October,2025,10/30/2024,94%
535,77,4,3,November,2025,11/30/2024,89%
536,77,4,4,January,2025,1/30/2025,78%
537,77,4,5,February,2025,2/28/2025,88%
538,77,1,6,March,2025,3/30/2025,75%
539,77,2,7,April,2025,4/30/2025,82%
540,78,9,1,September,2025,9/30/2024,75%
541,78,5,2,October,2025,10/30/2024,95%
542,78,4,3,November,2025,11/30/2024,85%
543,78,7,4,January,2025,1/30/2025,89%
544,78,9,5,February,2025,2/28/2025,89%
545,78,6,6,March,2025,3/30/2025,80%
546,78,5,7,April,2025,4/30/2025,80%
547,79,1,1,September,2025,9/30/2024,78%
548,79,5,2,October,2025,10/30/2024,84%
549,79,8,3,November,2025,11/30/2024,81%
550,79,6,4,January,2025,1/30/2025,78%
551,79,3,5,February,2025,2/28/2025,81%
552,79,3,6,March,2025,3/30/2025,93%
553,79,7,7,April,2025,4/30/2025,86%
554,80,9,1,September,2025,9/30/2024,94%
555,80,2,2,October,2025,10/30/2024,80%
556,80,6,3,November,2025,11/30/2024,76%
557,80,8,4,January,2025,1/30/2025,75%
558,80,2,5,February,2025,2/28/2025,90%
559,80,6,6,March,2025,3/30/2025,77%
560,80,2,7,April,2025,4/30/2025,80%
561,81,5,1,September,2025,9/30/2024,91%
562,81,4,2,October,2025,10/30/2024,78%
563,81,7,3,November,2025,11/30/2024,80%
564,81,5,4,January,2025,1/30/2025,93%
565,81,9,5,February,2025,2/28/2025,76%
566,81,5,6,March,2025,3/30/2025,91%
567,81,9,7,April,2025,4/30/2025,95%
568,82,7,1,September,2025,9/30/2024,83%
569,82,7,2,October,2025,10/30/2024,87%
570,82,9,3,November,2025,11/30/2024,86%
571,82,5,4,January,2025,1/30/2025,95%
572,82,9,5,February,2025,2/28/2025,93%
573,82,1,6,March,2025,3/30/2025,86%
574,82,9,7,April,2025,4/30/2025,95%
575,83,4,1,September,2025,9/30/2024,76%
576,83,2,2,October,2025,10/30/2024,84%
577,83,6,3,November,2025,11/30/2024,83%
578,83,2,4,January,2025,1/30/2025,84%
579,83,5,5,February,2025,2/28/2025,91%
580,83,5,6,March,2025,3/30/2025,93%
581,83,5,7,April,2025,4/30/2025,81%
582,84,8,1,September,2025,9/30/2024,81%
583,84,5,2,October,2025,10/30/2024,79%
584,84,6,3,November,2025,11/30/2024,84%
585,84,4,4,January,2025,1/30/2025,91%
586,84,6,5,February,2025,2/28/2025,92%
587,84,4,6,March,2025,3/30/2025,80%
588,84,8,7,April,2025,4/30/2025,80%
589,85,5,1,September,2025,9/30/2024,76%
590,85,4,2,October,2025,10/30/2024,85%
591,85,1,3,November,2025,11/30/2024,76%
592,85,6,4,January,2025,1/30/2025,77%
593,85,4,5,February,2025,2/28/2025,85%
594,85,3,6,March,2025,3/30/2025,81%
595,85,4,7,April,2025,4/30/2025,84%
596,86,3,1,September,2025,9/30/2024,80%
597,86,7,2,October,2025,10/30/2024,89%
598,86,6,3,November,2025,11/30/2024,87%
599,86,3,4,January,2025,1/30/2025,92%
600,86,5,5,February,2025,2/28/2025,85%
601,86,7,6,March,2025,3/30/2025,78%
602,86,1,7,April,2025,4/30/2025,90%
603,87,4,1,September,2025,9/30/2024,95%
604,87,1,2,October,2025,10/30/2024,85%
605,87,9,3,November,2025,11/30/2024,89%
