penalty_id,parent_id,student_id,penalty_type_id,penalty_date_g,penalty_date_h,amount_due,month_number,year,issued_at,paid
83,31,203,1,2025-05-18 00:00:00,08-11-1447,30,8,2025,2025-05-18 00:00:00,Y
84,31,205,1,2025-05-19 00:00:00,07-11-1448,30,8,2025,2025-05-19 00:00:00,N
85,32,208,1,2025-05-20 00:00:00,08-11-1448,40,8,2025,2025-05-20 00:00:00,N
86,33,211,1,2025-05-21 00:00:00,07-11-1449,40,8,2025,2025-05-21 00:00:00,Y
87,33,215,1,2025-05-22 00:00:00,08-11-1449,30,8,2025,2025-05-22 00:00:00,Y
88,34,217,1,2025-05-23 00:00:00,07-11-1450,40,8,2025,2025-05-23 00:00:00,Y
89,34,220,1,2025-05-24 00:00:00,08-11-1450,40,8,2025,2025-05-24 00:00:00,Y
90,35,224,1,2025-05-25 00:00:00,07-11-1451,30,8,2025,2025-05-25 00:00:00,N
91,35,225,1,2025-05-26 00:00:00,08-11-1451,40,8,2025,2025-05-26 00:00:00,Y
92,36,228,1,2025-05-27 00:00:00,07-11-1452,50,8,2025,2025-05-27 00:00:00,N
93,36,229,1,2025-05-28 00:00:00,08-11-1452,40,8,2025,2025-05-28 00:00:00,Y
94,37,231,1,2025-05-29 00:00:00,07-11-1453,30,8,2025,2025-05-29 00:00:00,Y
95,37,234,1,2025-05-30 00:00:00,08-11-1453,50,8,2025,2025-05-30 00:00:00,Y
96,38,236,1,2025-05-15 00:00:00,07-11-1446,50,8,2025,2025-05-15 00:00:00,N
97,38,238,1,2025-05-16 00:00:00,08-11-1446,30,8,2025,2025-05-16 00:00:00,Y
98,38,239,1,2025-05-17 00:00:00,07-11-1447,50,8,2025,2025-05-17 00:00:00,Y
99,38,240,1,2025-05-18 00:00:00,08-11-1447,50,8,2025,2025-05-18 00:00:00,Y
100,39,243,1,2025-05-19 00:00:00,07-11-1448,30,8,2025,2025-05-19 00:00:00,Y
101,39,244,1,2025-05-20 00:00:00,08-11-1448,30,8,2025,2025-05-20 00:00:00,Y
102,39,245,1,2025-05-21 00:00:00,07-11-1449,50,8,2025,2025-05-21 00:00:00,N
103,40,250,1,2025-05-22 00:00:00,08-11-1449,30,8,2025,2025-05-22 00:00:00,N
104,41,253,1,2025-05-23 00:00:00,07-11-1450,30,8,2025,2025-05-23 00:00:00,N
105,41,255,1,2025-05-24 00:00:00,08-11-1450,50,8,2025,2025-05-24 00:00:00,Y
106,42,257,1,2025-05-25 00:00:00,07-11-1451,30,8,2025,2025-05-25 00:00:00,Y
107,42,258,1,2025-05-26 00:00:00,08-11-1451,30,8,2025,2025-05-26 00:00:00,Y
108,43,263,1,2025-05-27 00:00:00,07-11-1452,50,8,2025,2025-05-27 00:00:00,N
109,43,264,1,2025-05-28 00:00:00,08-11-1452,40,8,2025,2025-05-28 00:00:00,N
110,44,267,1,2025-05-29 00:00:00,07-11-1453,40,8,2025,2025-05-29 00:00:00,N
111,44,269,1,2025-05-30 00:00:00,08-11-1453,40,8,2025,2025-05-30 00:00:00,N
112,45,275,1,2025-05-15 00:00:00,07-11-1446,50,8,2025,2025-05-15 00:00:00,Y
113,46,276,1,2025-05-16 00:00:00,08-11-1446,50,8,2025,2025-05-16 00:00:00,N
114,46,277,1,2025-05-17 00:00:00,07-11-1447,50,8,2025,2025-05-17 00:00:00,N
115,46,278,1,2025-05-18 00:00:00,08-11-1447,30,8,2025,2025-05-18 00:00:00,Y
116,46,279,1,2025-05-19 00:00:00,07-11-1448,40,8,2025,2025-05-19 00:00:00,N
117,47,283,1,2025-05-20 00:00:00,08-11-1448,40,8,2025,2025-05-20 00:00:00,N
118,47,285,1,2025-05-21 00:00:00,07-11-1449,50,8,2025,2025-05-21 00:00:00,N
119,48,287,1,2025-05-22 00:00:00,08-11-1449,30,8,2025,2025-05-22 00:00:00,N
120,48,290,1,2025-05-23 00:00:00,07-11-1450,30,8,2025,2025-05-23 00:00:00,Y
121,49,293,1,2025-05-24 00:00:00,08-11-1450,50,8,2025,2025-05-24 00:00:00,N
122,50,296,1,2025-05-25 00:00:00,07-11-1451,40,8,2025,2025-05-25 00:00:00,N
123,51,301,1,2025-05-26 00:00:00,08-11-1451,40,8,2025,2025-05-26 00:00:00,Y
124,51,302,1,2025-05-27 00:00:00,07-11-1452,50,8,2025,2025-05-27 00:00:00,N
125,51,303,1,2025-05-28 00:00:00,08-11-1452,40,8,2025,2025-05-28 00:00:00,Y
126,52,308,1,2025-05-29 00:00:00,07-11-1453,30,8,2025,2025-05-29 00:00:00,N
127,53,310,1,2025-05-30 00:00:00,08-11-1453,40,8,2025,2025-05-30 00:00:00,Y
128,53,312,1,2025-05-15 00:00:00,07-11-1446,40,8,2025,2025-05-15 00:00:00,Y
129,54,314,1,2025-05-16 00:00:00,08-11-1446,50,8,2025,2025-05-16 00:00:00,Y
130,54,315,1,2025-05-17 00:00:00,07-11-1447,40,8,2025,2025-05-17 00:00:00,Y
131,54,316,1,2025-05-18 00:00:00,08-11-1447,40,8,2025,2025-05-18 00:00:00,N
132,56,323,1,2025-05-19 00:00:00,07-11-1448,40,8,2025,2025-05-19 00:00:00,N
133,56,324,1,2025-05-20 00:00:00,08-11-1448,40,8,2025,2025-05-20 00:00:00,Y
134,57,325,1,2025-05-21 00:00:00,07-11-1449,40,8,2025,2025-05-21 00:00:00,Y
135,57,327,1,2025-05-22 00:00:00,08-11-1449,30,8,2025,2025-05-22 00:00:00,Y
136,58,329,1,2025-05-23 00:00:00,07-11-1450,50,8,2025,2025-05-23 00:00:00,Y
137,58,331,1,2025-05-24 00:00:00,08-11-1450,30,8,2025,2025-05-24 00:00:00,Y
138,59,333,1,2025-05-25 00:00:00,07-11-1451,40,8,2025,2025-05-25 00:00:00,N
139,59,335,1,2025-05-26 00:00:00,08-11-1451,40,8,2025,2025-05-26 00:00:00,Y
140,59,336,1,2025-05-27 00:00:00,07-11-1452,40,8,2025,2025-05-27 00:00:00,N
141,60,337,1,2025-05-28 00:00:00,08-11-1452,40,8,2025,2025-05-28 00:00:00,Y
142,60,340,1,2025-05-29 00:00:00,07-11-1453,50,8,2025,2025-05-29 00:00:00,N
143,61,341,1,2025-05-30 00:00:00,08-11-1453,40,8,2025,2025-05-30 00:00:00,N
144,61,344,1,2025-05-15 00:00:00,07-11-1446,50,8,2025,2025-05-15 00:00:00,N
145,62,345,1,2025-05-16 00:00:00,08-11-1446,30,8,2025,2025-05-16 00:00:00,Y
146,63,349,1,2025-05-17 00:00:00,07-11-1447,40,8,2025,2025-05-17 00:00:00,Y
147,63,350,1,2025-05-18 00:00:00,08-11-1447,30,8,2025,2025-05-18 00:00:00,Y
148,63,351,1,2025-05-19 00:00:00,07-11-1448,30,8,2025,2025-05-19 00:00:00,Y
149,63,352,1,2025-05-20 00:00:00,08-11-1448,40,8,2025,2025-05-20 00:00:00,Y
150,64,354,1,2025-05-21 00:00:00,07-11-1449,30,8,2025,2025-05-21 00:00:00,Y
151,65,357,1,2025-05-22 00:00:00,08-11-1449,50,8,2025,2025-05-22 00:00:00,N
152,66,360,1,2025-05-23 00:00:00,07-11-1450,40,8,2025,2025-05-23 00:00:00,Y
153,66,361,1,2025-05-24 00:00:00,08-11-1450,30,8,2025,2025-05-24 00:00:00,Y
154,66,362,1,2025-05-25 00:00:00,07-11-1451,50,8,2025,2025-05-25 00:00:00,Y
155,67,363,1,2025-05-26 00:00:00,08-11-1451,50,8,2025,2025-05-26 00:00:00,Y
156,67,365,1,2025-05-27 00:00:00,07-11-1452,40,8,2025,2025-05-27 00:00:00,Y
157,68,366,1,2025-05-28 00:00:00,08-11-1452,50,8,2025,2025-05-28 00:00:00,N
158,69,369,1,2025-05-29 00:00:00,07-11-1453,30,8,2025,2025-05-29 00:00:00,N
159,69,371,1,2025-05-30 00:00:00,08-11-1453,40,8,2025,2025-05-30 00:00:00,Y
160,71,377,1,2025-05-15 00:00:00,07-11-1446,50,8,2025,2025-05-15 00:00:00,Y
161,73,383,1,2025-05-16 00:00:00,08-11-1446,50,8,2025,2025-05-16 00:00:00,N
162,76,394,1,2025-05-17 00:00:00,07-11-1447,30,8,2025,2025-05-17 00:00:00,N
163,77,396,1,2025-05-18 00:00:00,08-11-1447,40,8,2025,2025-05-18 00:00:00,N
164,78,399,1,2025-05-19 00:00:00,07-11-1448,40,8,2025,2025-05-19 00:00:00,N
165,78,401,1,2025-05-20 00:00:00,08-11-1448,50,8,2025,2025-05-20 00:00:00,N
166,80,408,1,2025-05-21 00:00:00,07-11-1449,30,8,2025,2025-05-21 00:00:00,N
167,80,409,1,2025-05-22 00:00:00,08-11-1449,50,8,2025,2025-05-22 00:00:00,Y
168,81,411,1,2025-05-23 00:00:00,07-11-1450,40,8,2025,2025-05-23 00:00:00,Y
169,81,412,1,2025-05-24 00:00:00,08-11-1450,50,8,2025,2025-05-24 00:00:00,N
170,82,417,1,2025-05-25 00:00:00,07-11-1451,30,8,2025,2025-05-25 00:00:00,Y
171,82,418,1,2025-05-26 00:00:00,08-11-1451,50,8,2025,2025-05-26 00:00:00,N
172,83,420,1,2025-05-27 00:00:00,07-11-1452,30,8,2025,2025-05-27 00:00:00,Y
173,83,421,1,2025-05-28 00:00:00,08-11-1452,40,8,2025,2025-05-28 00:00:00,N
174,84,423,1,2025-05-29 00:00:00,07-11-1453,30,8,2025,2025-05-29 00:00:00,N
175,85,427,1,2025-05-30 00:00:00,08-11-1453,50,8,2025,2025-05-30 00:00:00,N
176,86,433,1,2025-05-15 00:00:00,07-11-1446,40,8,2025,2025-05-15 00:00:00,Y
177,86,434,1,2025-05-16 00:00:00,08-11-1446,50,8,2025,2025-05-16 00:00:00,Y
178,87,437,1,2025-05-17 00:00:00,07-11-1447,40,8,2025,2025-05-17 00:00:00,Y
179,87,438,1,2025-05-18 00:00:00,08-11-1447,50,8,2025,2025-05-18 00:00:00,Y
180,88,441,1,2025-05-19 00:00:00,07-11-1448,30,8,2025,2025-05-19 00:00:00,Y
181,88,442,1,2025-05-20 00:00:00,08-11-1448,50,8,2025,2025-05-20 00:00:00,N
182,90,447,1,2025-05-21 00:00:00,07-11-1449,40,8,2025,2025-05-21 00:00:00,N
183,91,451,1,2025-05-22 00:00:00,08-11-1449,40,8,2025,2025-05-22 00:00:00,Y
184,91,453,1,2025-05-23 00:00:00,07-11-1450,40,8,2025,2025-05-23 00:00:00,N
185,92,458,1,2025-05-24 00:00:00,08-11-1450,50,8,2025,2025-05-24 00:00:00,N
186,92,460,1,2025-05-25 00:00:00,07-11-1451,50,8,2025,2025-05-25 00:00:00,Y
187,93,461,1,2025-05-26 00:00:00,08-11-1451,40,8,2025,2025-05-26 00:00:00,N
188,94,466,1,2025-05-27 00:00:00,07-11-1452,50,8,2025,2025-05-27 00:00:00,N
189,94,469,1,2025-05-28 00:00:00,08-11-1452,30,8,2025,2025-05-28 00:00:00,N
190,95,471,1,2025-05-29 00:00:00,07-11-1453,50,8,2025,2025-05-29 00:00:00,N
191,95,473,1,2025-05-30 00:00:00,08-11-1453,40,8,2025,2025-05-30 00:00:00,N
192,96,478,1,2025-05-15 00:00:00,07-11-1446,40,8,2025,2025-05-15 00:00:00,Y
193,97,481,1,2025-05-16 00:00:00,08-11-1446,30,8,2025,2025-05-16 00:00:00,N
194,97,482,1,2025-05-17 00:00:00,07-11-1447,30,8,2025,2025-05-17 00:00:00,Y
195,97,485,1,2025-05-18 00:00:00,08-11-1447,50,8,2025,2025-05-18 00:00:00,Y
196,98,490,1,2025-05-19 00:00:00,07-11-1448,40,8,2025,2025-05-19 00:00:00,N
197,99,491,1,2025-05-20 00:00:00,08-11-1448,50,8,2025,2025-05-20 00:00:00,Y
198,99,493,1,2025-05-21 00:00:00,07-11-1449,30,8,2025,2025-05-21 00:00:00,N
199,99,494,1,2025-05-22 00:00:00,08-11-1449,40,8,2025,2025-05-22 00:00:00,N
200,100,500,1,2025-05-23 00:00:00,07-11-1450,50,8,2025,2025-05-23 00:00:00,N
