id,excuse_id,file_url,uploaded_at
52,52,https://makkahnewspaper.com/uploads/imported_images/2015/11/18/269441.JPG,2025-05-18 00:00:00
53,53,https://makkahnewspaper.com/uploads/imported_images/2015/11/18/269441.JPG,2025-05-19 00:00:00
54,54,https://makkahnewspaper.com/uploads/imported_images/2015/11/18/269441.JPG,2025-05-20 00:00:00
55,55,https://makkahnewspaper.com/uploads/imported_images/2015/11/18/269441.JPG,2025-05-21 00:00:00
56,56,https://makkahnewspaper.com/uploads/imported_images/2015/11/18/269441.JPG,2025-05-22 00:00:00
57,57,https://makkahnewspaper.com/uploads/imported_images/2015/11/18/269441.JPG,2025-05-23 00:00:00
58,58,https://makkahnewspaper.com/uploads/imported_images/2015/11/18/269441.JPG,2025-05-24 00:00:00
59,59,https://makkahnewspaper.com/uploads/imported_images/2015/11/18/269441.JPG,2025-05-25 00:00:00
60,60,https://makkahnewspaper.com/uploads/imported_images/2015/11/18/269441.JPG,2025-05-26 00:00:00
61,61,https://makkahnewspaper.com/uploads/imported_images/2015/11/18/269441.JPG,2025-05-27 00:00:00
62,62,https://makkahnewspaper.com/uploads/imported_images/2015/11/18/269441.JPG,2025-05-28 00:00:00
63,63,https://makkahnewspaper.com/uploads/imported_images/2015/11/18/269441.JPG,2025-05-29 00:00:00
64,64,https://makkahnewspaper.com/uploads/imported_images/2015/11/18/269441.JPG,2025-05-30 00:00:00
65,65,https://makkahnewspaper.com/uploads/imported_images/2015/11/18/269441.JPG,2025-05-15 00:00:00
66,66,https://almanahj.com/sa/images/bot/photos/file_1685.jpg,2025-05-16 00:00:00
67,67,https://almanahj.com/sa/images/bot/photos/file_1685.jpg,2025-05-17 00:00:00
68,68,https://almanahj.com/sa/images/bot/photos/file_1685.jpg,2025-05-18 00:00:00
69,69,https://almanahj.com/sa/images/bot/photos/file_1685.jpg,2025-05-19 00:00:00
70,70,https://almanahj.com/sa/images/bot/photos/file_1685.jpg,2025-05-20 00:00:00
83ae,83ae,/uploads/sickLeaves.png,2025-06-15 04:59:05
4f9f,4f9f,uploads/sickLeaves.png,2025-06-15 05:05:18
4cdf,40d1,/uploads/sickLeaves.png,2025-06-16 10:09:46
bf22,86f3,/uploads/result.png,2025-06-16 10:16:44
a14f,a364,/uploads/setting.png,2025-06-16 10:26:05
0bc6,54c9,/uploads/avatar.png,2025-06-16 10:28:58
8742,c642,/uploads/nafath-logo.png,2025-06-16 10:36:40
f1be,55d8,/uploads/teacher.png,2025-06-16 11:11:59
