parent_id,student_id,relationship_en,relationship_ar
39,241,Father,أب
39,242,Father,أب
39,243,Father,أب
39,244,Father,أب
39,245,Father,أب
40,246,Father,أب
40,247,Father,أب
40,248,Father,أب
40,249,Father,أب
40,250,Father,أب
41,251,Father,أب
41,252,Father,أب
41,253,Father,أب
41,254,Father,أب
41,255,Father,أب
42,256,Father,أب
42,257,Father,أب
42,258,Father,أب
42,259,Father,أب
42,260,Father,أب
43,261,Father,أب
43,262,Father,أب
43,263,Father,أب
43,264,Father,أب
43,265,Father,أب
44,266,Father,أب
44,267,Father,أب
44,268,Father,أب
44,269,Father,أب
44,270,Father,أب
45,271,Father,أب
45,272,Father,أب
45,273,Father,أب
45,274,Father,أب
45,275,Father,أب
46,276,Father,أب
46,277,Father,أب
46,278,Father,أب
46,279,Father,أب
46,280,Father,أب
47,281,Father,أب
47,282,Father,أب
47,283,Father,أب
47,284,Father,أب
47,285,Father,أب
48,286,Father,أب
48,287,Father,أب
48,288,Father,أب
48,289,Father,أب
48,290,Father,أب
49,291,Father,أب
49,292,Father,أب
49,293,Father,أب
49,294,Father,أب
49,295,Father,أب
50,296,Father,أب
50,297,Father,أب
50,298,Father,أب
50,299,Father,أب
50,300,Father,أب
51,301,Father,أب
51,302,Father,أب
51,303,Father,أب
51,304,Father,أب
52,305,Father,أب
52,306,Father,أب
52,307,Father,أب
52,308,Father,أب
53,309,Father,أب
53,310,Father,أب
53,311,Father,أب
53,312,Father,أب
54,313,Father,أب
54,314,Father,أب
54,315,Father,أب
54,316,Father,أب
55,317,Father,أب
55,318,Father,أب
55,319,Father,أب
55,320,Father,أب
56,321,Father,أب
56,322,Father,أب
56,323,Father,أب
56,324,Father,أب
57,325,Father,أب
57,326,Father,أب
57,327,Father,أب
57,328,Father,أب
58,329,Father,أب
58,330,Father,أب
58,331,Father,أب
58,332,Father,أب
59,333,Father,أب
59,334,Father,أب
59,335,Father,أب
59,336,Father,أب
60,337,Father,أب
60,338,Father,أب
60,339,Father,أب
60,340,Father,أب
61,341,Father,أب
61,342,Father,أب
61,343,Father,أب
61,344,Father,أب
62,345,Father,أب
62,346,Father,أب
62,347,Father,أب
62,348,Father,أب
63,349,Father,أب
63,350,Father,أب
63,351,Father,أب
63,352,Father,أب
64,353,Father,أب
64,354,Father,أب
64,355,Father,أب
64,356,Father,أب
65,357,Father,أب
65,358,Father,أب
65,359,Father,أب
66,360,Father,أب
66,361,Father,أب
66,362,Father,أب
67,363,Father,أب
67,364,Father,أب
67,365,Father,أب
68,366,Father,أب
68,367,Father,أب
68,368,Father,أب
69,369,Father,أب
69,370,Father,أب
69,371,Father,أب
70,372,Father,أب
70,373,Father,أب
70,374,Father,أب
71,375,Father,أب
71,376,Father,أب
71,377,Father,أب
72,378,Father,أب
72,379,Father,أب
72,380,Father,أب
73,381,Father,أب
73,382,Father,أب
73,383,Father,أب
74,384,Father,أب
74,385,Father,أب
74,386,Father,أب
75,387,Father,أب
75,388,Father,أب
75,389,Father,أب
75,390,Father,أب
76,391,Father,أب
76,392,Father,أب
76,393,Father,أب
76,394,Father,أب
77,395,Father,أب
77,396,Father,أب
77,397,Father,أب
77,398,Father,أب
78,399,Father,أب
78,400,Father,أب
78,401,Father,أب
78,402,Father,أب
79,403,Father,أب
79,404,Father,أب
79,405,Father,أب
79,406,Father,أب
80,407,Father,أب
80,408,Father,أب
80,409,Father,أب
80,410,Father,أب
81,411,Father,أب
81,412,Father,أب
81,413,Father,أب
81,414,Father,أب
82,415,Father,أب
82,416,Father,أب
82,417,Father,أب
82,418,Father,أب
83,419,Father,أب
83,420,Father,أب
83,421,Father,أب
83,422,Father,أب
84,423,Father,أب
84,424,Father,أب
84,425,Father,أب
84,426,Father,أب
85,427,Father,أب
85,428,Father,أب
85,429,Father,أب
85,430,Father,أب
86,431,Father,أب
86,432,Father,أب
86,433,Father,أب
86,434,Father,أب
87,435,Father,أب
87,436,Father,أب
87,437,Father,أب
87,438,Father,أب
88,439,Father,أب
88,440,Father,أب
88,441,Father,أب
88,442,Father,أب
89,443,Father,أب
89,444,Father,أب
89,445,Father,أب
89,446,Father,أب
90,447,Father,أب
90,448,Father,أب
90,449,Father,أب
90,450,Father,أب
91,451,Father,أب
91,452,Father,أب
91,453,Father,أب
91,454,Father,أب
91,455,Father,أب
92,456,Father,أب
92,457,Father,أب
92,458,Father,أب
92,459,Father,أب
92,460,Father,أب
93,461,Father,أب
93,462,Father,أب
93,463,Father,أب
93,464,Father,أب
93,465,Father,أب
94,466,Father,أب
94,467,Father,أب
94,468,Father,أب
94,469,Father,أب
94,470,Father,أب
95,471,Father,أب
95,472,Father,أب
95,473,Father,أب
95,474,Father,أب
95,475,Father,أب
96,476,Father,أب
96,477,Father,أب
96,478,Father,أب
96,479,Father,أب
96,480,Father,أب
97,481,Father,أب
97,482,Father,أب
97,483,Father,أب
97,484,Father,أب
97,485,Father,أب
98,486,Father,أب
98,487,Father,أب
98,488,Father,أب
98,489,Father,أب
98,490,Father,أب
99,491,Father,أب
99,492,Father,أب
99,493,Father,أب
99,494,Father,أب
99,495,Father,أب
100,496,Father,أب
100,497,Father,أب
100,498,Father,أب
100,499,Father,أب
100,500,Father,أب
